Currencies,Currencies
Template,Template
Preview,Preview
"Use Default","Use Default"
"Use Website","Use Website"
"Use System","Use System"
"Comma (,)","Comma (,)"
"Dot (.)","Dot (.)"
"Tick (')","Tick (')"
"Space ( )","Space ( )"
None,None
"Before Value","Before Value"
"After Value","After Value"
"Before Symbol","Before Symbol"
"After Symbol","After Symbol"
"Before value","Before value"
"Before value with space","Before value with space"
"After value","After value"
"After value with space","After value with space"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Symbol Position","Symbol Position"
"Thousands Separator","Thousands Separator"
"Decimal Digit(s)","Decimal Digit(s)"
"Minus Sign","Minus Sign"
Symbol,Symbol
"Decimal Separator","Decimal Separator"
"Minus Sign Position","Minus Sign Position"
"Currency Formatter","Currency Formatter"
General,General
Enable,Enable
"Select <b>Yes</b> to enable this module.<br />
                        1. It helps to reduce abandonment cart with <a href=""https://www.mageplaza.com/magento-2-one-step-checkout-extension/"" target=""_blank"">One Step Checkout</a>. <br />
                        2. Magento stores see upwards of 30% revenue ðŸ’° with AVADA. <a href=""https://go.avada.io/mageplaza"">Learn more</a>","Select <b>Yes</b> to enable this module.<br />
                        1. It helps to reduce abandonment cart with <a href=""https://www.mageplaza.com/magento-2-one-step-checkout-extension/"" target=""_blank"">One Step Checkout</a>. <br />
                        2. Magento stores see upwards of 30% revenue ðŸ’° with AVADA. <a href=""https://go.avada.io/mageplaza"">Learn more</a>"
"Currency Configuration","Currency Configuration"
